Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,type,1,,
Data,0,file_id,time_created,"999200672",,manufacturer,"1",,garmin_product,"65534",,type,"6",,,,,
Definition,1,course,name,16,,,,,,,,,,,,,,
Data,1,course,name,"Marshall-Gunbar",,,,,,,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_distance,1,,
Data,2,lap,timestamp,"999200688",s,start_time,"999200688",,total_elapsed_time,"30060.0",s,total_timer_time,"30060.0",s,start_position_lat,"477630786",semicircles,start_position_long,"-1255862276",semicircles,end_position_lat,"477630786",semicircles,end_position_long,"-1255862276",semicircles,total_distance,"74408.66",m,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,
Data,3,event,timestamp,"999200688",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,message_index,1,,type,1,,,,,,,,
Data,4,course_point,timestamp,"999200688",,position_lat,"477630786",semicircles,position_long,"-1255862276",semicircles,distance,"0.0",m,name,"Start of r",,type,"0",,,,,,,,,,,
Data,4,course_point,timestamp,"999200708",,position_lat,"477631024",semicircles,position_long,"-1255838892",semicircles,distance,"167.07",m,name,"Folsom St",,type,"7",,,,,,,,,,,
Data,4,course_point,timestamp,"999200808",,position_lat,"477549778",semicircles,position_long,"-1255837819",semicircles,distance,"925.27",m,name,"Goose Cree",,type,"6",,,,,,,,,,,
Data,4,course_point,timestamp,"999200868",,position_lat,"477547272",semicircles,position_long,"-1255832092",semicircles,distance,"989.6",m,name,"Goose Cree",,type,"7",,,,,,,,,,,
Data,4,course_point,timestamp,"999200958",,position_lat,"477543215",semicircles,position_long,"-1255802147",semicircles,distance,"1212.18",m,name,"Goose Cree",,type,"19",,,,,,,,,,,
Data,4,course_point,timestamp,"999201038",,position_lat,"477537489",semicircles,position_long,"-1255791290",semicircles,distance,"1327.64",m,name,"Goose Cree",,type,"21",,,,,,,,,,,
Data,4,course_point,timestamp,"999201118",,position_lat,"477535580",semicircles,position_long,"-1255760747",semicircles,distance,"1556.43",m,name,"Goose Cree",,type,"21",,,,,,,,,,,
Data,4,course_point,timestamp,"999201188",,position_lat,"477528540",semicircles,position_long,"-1255749532",semicircles,distance,"1678.87",m,name,"Goose Cree",,type,"19",,,,,,,,,,,
Data,4,course_point,timestamp,"999201438",,position_lat,"477522934",semicircles,position_long,"-1255626888",semicircles,distance,"2580.23",m,name,"Goose Cree",,type,"6",,,,,,,,,,,
Data,4,course_point,timestamp,"999201468",,position_lat,"477525917",semicircles,position_long,"-1255623548",semicircles,distance,"2618.46",m,name,"Goose Cree",,type,"7",,,,,,,,,,,
Data,4,course_point,timestamp,"999201518",,position_lat,"477523053",semicircles,position_long,"-1255614958",semicircles,distance,"2705.0",m,name,"Goose Cree",,type,"21",,,,,,,,,,,
Data,4,course_point,timestamp,"999201528",,position_lat,"477522457",semicircles,position_long,"-1255613645",semicircles,distance,"2715.91",m,name,"Foothills ",,type,"7",,,,,,,,,,,
Data,4,course_point,timestamp,"999201558",,position_lat,"477518638",semicircles,position_long,"-1255614958",semicircles,distance,"2754.3",m,name,"Sharp Goos",,type,"20",,,,,,,,,,,
Data,4,course_point,timestamp,"999201778",,position_lat,"477534268",semicircles,position_long,"-1255503408",semicircles,distance,"3579.8",m,name,"Goose Cree",,type,"7",,,,,,,,,,,
Data,4,course_point,timestamp,"999201988",,position_lat,"477496568",semicircles,position_long,"-1255447454",semicircles,distance,"4158.01",m,name,"Boulder Cr",,type,"6",,,,,,,,,,,
Data,4,course_point,timestamp,"999202128",,position_lat,"477530808",semicircles,position_long,"-1255379689",semicircles,distance,"4781.33",m,name,"South Boul",,type,"21",,,,,,,,,,,
Data,4,course_point,timestamp,"999202308",,position_lat,"477542141",semicircles,position_long,"-1255315980",semicircles,distance,"5296.75",m,name,"South Boul",,type,"8",,,,,,,,,,,
Data,4,course_point,timestamp,"999202708",,position_lat,"477399573",semicircles,position_long,"-1255261219",semicircles,distance,"6773.43",m,name,"South Boul",,type,"19",,,,,,,,,,,
Data,4,course_point,timestamp,"999202758",,position_lat,"477391818",semicircles,position_long,"-1255272195",semicircles,distance,"6924.75",m,name,"Old Tale R",,type,"6",,,,,,,,,,,
Data,4,course_point,timestamp,"999202908",,position_lat,"477302936",semicircles,position_long,"-1255277326",semicircles,distance,"7764.48",m,name,"South Boul",,type,"19",,,,,,,,,,,
Data,4,course_point,timestamp,"999203048",,position_lat,"477261538",semicircles,position_long,"-1255262532",semicircles,distance,"8265.81",m,name,"Gapter Roa",,type,"7",,,,,,,,,,,
Data,4,course_point,timestamp,"999203118",,position_lat,"477222525",semicircles,position_long,"-1255260264",semicircles,distance,"8632.78",m,name,"South Boul",,type,"7",,,,,,,,,,,
Data,4,course_point,timestamp,"999203478",,position_lat,"477125292",semicircles,position_long,"-1255289852",semicircles,distance,"9675.96",m,name,"Sharp Sout",,type,"20",,,,,,,,,,,
